Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Germany,DEU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3781698549834.74
Germany,DEU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,45845.5265423811
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.09999990463257
Germany,DEU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.329210698624
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2248106280710.07
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10826.2714348298
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.6000003814697
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,8.33256679010704
Spain,ESP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1464508831011.81
Spain,ESP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,31505.2929758767
Spain,ESP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,19.6000003814697
Spain,ESP,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.283304212129877
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,445226712654.891
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10153.9979117337
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,40.6753096494524
France,FRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2810525379194.34
France,FRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,42015.7382940858
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.1000003814697
France,FRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.38526565465024
Portugal,PRT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,231561559532.622
Portugal,PRT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,22426.2879274072
Portugal,PRT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.1000003814697
Portugal,PRT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.42589299973585
United Kingdom,GBR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2753793133582.5
United Kingdom,GBR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,41981.3920892747
United Kingdom,GBR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.80000019073486
United Kingdom,GBR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.00236447669423
Colombia,COL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,366158592495.197
Colombia,COL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7525.85532571096
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.39999961853027
Colombia,COL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.85243195842476
Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,515557225002.467
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,45469.7108326081
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.80000019073486
Belgium,BEL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.58390325573154
Peru,PER,GDP (constant 2010 US$),NY.GDP.MKTP.KD,193483725407.038
