year,country
1930,Belgium
1930,Uruguay
1930,Brazil
1930,Argentina
1930,Mexico
1930,France
1930,Peru
1934,Brazil
1934,Argentina
1934,Switzerland
1934,Spain
1934,Belgium
1934,Egypt
1934,Germany
1934,Sweden
1934,France
1938,Germany
1938,Brazil
1938,Belgium
1938,Poland
1938,Switzerland
1938,France
1938,Sweden
1950,Sweden
1950,Uruguay
1950,England
1950,Brazil
1950,Spain
1950,Mexico
1950,Switzerland
1954,France
1954,Germany
1954,Switzerland
1954,Brazil
1954,Mexico
1954,Uruguay
1954,Belgium
1954,England
1954,South Korea
1958,Mexico
1958,Germany
1958,Argentina
1958,Russia
1958,Sweden
1958,England
1958,Brazil
1958,France
1962,Germany
1962,Spain
1962,Switzerland
1962,Argentina
1962,Colombia
1962,Uruguay
1962,Russia
1962,England
1962,Brazil
1962,Mexico
1966,Mexico
1966,Switzerland
1966,Germany
1966,France
1966,Russia
1966,Brazil
1966,Spain
1966,Argentina
1966,Portugal
1966,England
1966,Uruguay
1970,Mexico
1970,Peru
1970,Russia
1970,Germany
1970,Morocco
1970,Sweden
1970,Uruguay
1970,Belgium
1970,Brazil
1970,England
1974,Uruguay
1974,Poland
1974,Sweden
1974,Germany
1974,Argentina
1974,Brazil
1974,Australia
1978,Poland
1978,Mexico
1978,Spain
1978,Peru
1978,Tunisia
1978,France
1978,Argentina
1978,Germany
1978,Brazil
1978,Iran
1978,Sweden
1982,Brazil
1982,Peru
1982,Argentina
1982,Belgium
1982,Russia
1982,Poland
1982,Germany
1982,Spain
1982,France
1982,England
1986,South Korea
1986,Mexico
1986,England
1986,Uruguay
1986,Portugal
1986,Morocco
1986,Poland
1986,Spain
1986,Denmark
1986,France
1986,Germany
1986,Brazil
1986,Russia
1986,Belgium
1986,Argentina
1990,Egypt
1990,Colombia
1990,Russia
1990,Belgium
1990,Sweden
1990,England
1990,Costa Rica
1990,South Korea
1990,Argentina
1990,Spain
1990,Uruguay
1990,Brazil
1990,Germany
1994,South Korea
1994,Russia
1994,Spain
1994,Mexico
1994,Nigeria
1994,Colombia
1994,Saudi Arabia
1994,Morocco
1994,Germany
1994,Switzerland
1994,Brazil
1994,Argentina
1994,Belgium
1994,Sweden
1998,Japan
1998,Serbia
1998,Saudi Arabia
1998,Belgium
1998,Nigeria
1998,Brazil
1998,Mexico
1998,Croatia
1998,Argentina
1998,Tunisia
1998,Spain
1998,Morocco
1998,Denmark
1998,Germany
1998,England
1998,Iran
1998,France
1998,South Korea
1998,Colombia
2002,Belgium
2002,Uruguay
2002,Costa Rica
2002,Tunisia
2002,Sweden
2002,Denmark
2002,France
2002,Saudi Arabia
2002,Argentina
2002,South Korea
2002,Germany
2002,Mexico
2002,Portugal
2002,Senegal
2002,Croatia
2002,England
2002,Russia
2002,Poland
2002,Nigeria
2002,Spain
2002,Japan
2002,Brazil
2006,Saudi Arabia
2006,South Korea
2006,Croatia
2006,Serbia
2006,Sweden
2006,Japan
2006,Germany
2006,Costa Rica
2006,Portugal
2006,Brazil
2006,Spain
2006,Switzerland
2006,England
2006,Mexico
2006,Poland
2006,France
2006,Argentina
2006,Iran
2006,Australia
2006,Tunisia
2010,England
2010,Mexico
2010,Argentina
2010,France
2010,Brazil
2010,Uruguay
2010,Serbia
2010,Portugal
2010,Japan
2010,South Korea
2010,Spain
2010,Switzerland
2010,Nigeria
2010,Australia
2010,Denmark
2010,Germany
2014,Japan
2014,Portugal
2014,Switzerland
2014,Germany
2014,England
2014,Australia
2014,Iran
2014,Colombia
2014,Croatia
2014,France
2014,Mexico
2014,Costa Rica
2014,Belgium
2014,Nigeria
2014,Uruguay
2014,South Korea
2014,Russia
2014,Brazil
2014,Argentina
2014,Spain
