player_id,position,overall
20801,ST,92
20801,LW,91
158023,RW,91
190871,LW,89
176580,ST,88
167495,GK,92
188545,ST,88
193080,GK,90
183277,LW,88
182521,CDM,82
182521,CM,87
167664,ST,87
155862,CB,87
192985,RM,85
192985,CM,84
192985,CAM,86
192119,GK,89
177003,CDM,80
177003,CM,86
153079,ST,86
211110,ST,83
211110,CAM,86
194765,LW,86
194765,RW,86
194765,ST,85
189509,CDM,76
189509,CAM,86
189509,CM,85
183907,CB,85
182493,CB,86
178603,CB,85
176635,RW,83
176635,CAM,85
167948,GK,88
164240,CB,85
41236,ST,84
215914,CM,81
215914,CDM,84
195864,CDM,79
195864,CM,84
190460,LM,84
190460,RM,84
190460,CAM,85
179813,ST,84
176676,LB,84
168651,CM,84
168542,LM,82
168542,CM,81
168542,CAM,84
152729,CB,84
41,LM,84
41,CM,84
202126,ST,84
198710,RM,82
198710,CM,79
198710,CAM,83
197781,LM,82
197781,RM,82
197781,CAM,85
197781,CM,84
192505,ST,84
191043,LM,80
191043,LB,84
189596,ST,83
189596,CAM,81
189596,RW,81
189596,CF,83
189511,CM,81
189511,CDM,83
189242,CAM,85
189242,LW,84
188350,LW,86
188350,ST,82
188350,LM,84
184087,CB,84
179944,CB,83
179844,ST,83
178518,CAM,82
178518,CM,84
177610,CDM,80
177610,CB,84
175943,ST,78
175943,LW,86
175943,CF,85
168609,CB,84
165153,ST,83
162895,CAM,82
162895,CDM,72
162895,CM,83
156616,LW,84
156616,LM,83
120533,CB,83
208418,RM,83
208418,LM,83
201535,CB,83
200145,CDM,84
193301,ST,83
193041,GK,85
192593,GK,85
192563,GK,85
192448,GK,85
190547,CB,83
189332,LB,83
186942,CDM,77
186942,CM,83
184432,LB,84
184432,RB,84
184432,CB,83
183898,LW,83
183898,RW,83
172871,CB,83
170890,CM,79
170890,CDM,83
167628,GK,85
164169,LB,83
139720,CB,82
220834,LW,81
220834,LM,81
220834,RM,81
220834,CAM,82
218667,RM,83
